datetime,open,high,low,close,volume
2020-09-14 11:18:00,393.32080,393.39001,393.32080,393.39001,695
2020-09-14 11:19:00,393.14999,393.14999,393.14999,393.14999,1053
2020-09-14 11:20:00,393.17999,393.17999,392.62500,392.62500,1285
2020-09-14 11:21:00,392.72931,392.72931,392.48499,392.48499,1956
2020-09-14 11:22:00,392.41229,392.41229,392.41229,392.41229,1573
2020-09-14 11:23:00,392.53000,392.88000,392.48999,392.87000,1352
2020-09-14 11:24:00,392.78000,392.95001,392.69000,392.95001,4972
2020-09-14 11:25:00,392.91000,392.95001,392.42999,392.54001,4290
2020-09-14 11:27:00,392.40500,392.41019,392.07001,392.20999,4102
2020-09-14 11:28:00,392.26001,392.26001,392.07999,392.22000,2849
2020-09-14 11:29:00,391.95001,391.95001,391.95001,391.95001,174
2020-09-14 11:30:00,391.82999,391.90500,391.82999,391.90500,3659
2020-09-14 11:31:00,391.87000,392.13000,391.87000,392.13000,2304
2020-09-14 11:32:00,392.26001,392.44000,391.84000,392.44000,6215
2020-09-14 11:33:00,392.72000,393.04999,392.72000,393.04001,2004
2020-09-14 11:34:00,392.89001,392.89001,392.70401,392.70401,940
2020-09-14 11:35:00,392.58499,392.92001,392.48001,392.92001,2023
2020-09-14 11:37:00,392.92999,393.59500,392.82001,393.59500,1665
2020-09-14 11:38:00,393.47000,393.47000,393.24500,393.24500,1056
2020-09-14 11:39:00,393.39999,393.63501,393.39999,393.42999,2416
2020-09-14 11:40:00,393.60501,393.70999,393.03500,393.03500,1972
2020-09-14 11:41:00,393.10001,393.20001,393.10001,393.20001,1534
2020-09-14 11:42:00,393.26501,393.34000,393.10999,393.34000,505
2020-09-14 11:43:00,393.16660,393.38000,393.14999,393.22000,1768
2020-09-14 11:44:00,393.42999,393.42999,393.20499,393.20499,1578
2020-09-14 11:45:00,393.25000,393.41000,393.23999,393.28000,1992
2020-09-14 11:46:00,393.14999,393.29999,393.14999,393.29999,1035
2020-09-14 11:47:00,393.45999,393.56000,393.31000,393.31000,1374
2020-09-14 11:48:00,392.89001,393.14999,392.89001,393.14999,933
2020-09-14 11:49:00,393.23999,393.29999,393.11499,393.11499,2076
2020-09-14 11:50:00,393.14001,393.44000,393.14001,393.37500,1577
2020-09-14 11:51:00,393.12000,393.12000,393.12000,393.12000,1107
2020-09-14 11:52:00,393.03000,393.03000,392.82999,392.82999,554
2020-09-14 11:53:00,392.75000,392.85001,392.75000,392.85001,950
2020-09-14 11:54:00,392.88000,392.88000,392.88000,392.88000,949
2020-09-14 11:56:00,392.82001,392.82001,392.82001,392.82001,2499
2020-09-14 11:57:00,393.18500,393.18500,393.11499,393.12500,1984
2020-09-14 11:59:00,392.89999,392.95999,392.89999,392.95999,837
2020-09-14 12:00:00,392.97501,393.22000,392.97501,393.22000,813
2020-09-14 12:01:00,393.31500,393.57999,393.29999,393.57999,2271
2020-09-14 12:02:00,393.56201,393.56201,393.56201,393.56201,1729
2020-09-14 12:03:00,393.63000,393.63000,393.54999,393.56000,743
2020-09-14 12:04:00,393.45001,393.45001,393.42001,393.42001,2055
2020-09-14 12:06:00,393.85001,393.85001,393.64331,393.72501,2004
2020-09-14 12:07:00,394.09189,394.14001,393.89999,394.04001,1961
2020-09-14 12:08:00,394.19000,394.23999,394.01501,394.23999,1715
2020-09-14 12:09:00,394.39999,394.39999,393.86249,393.86249,2325
2020-09-14 12:10:00,393.94000,393.94000,393.92499,393.92499,1273
2020-09-14 12:11:00,394.06500,394.29999,394.06500,394.29999,1109
2020-09-14 12:12:00,394.46500,394.62000,394.46500,394.62000,583
2020-09-14 12:13:00,394.59500,394.59500,394.58499,394.58499,554
2020-09-14 12:14:00,394.57001,394.57001,394.55499,394.57001,890
2020-09-14 12:15:00,394.76001,394.80759,394.76001,394.80759,719
2020-09-14 12:16:00,394.63501,394.84000,394.63501,394.76999,1473
2020-09-14 12:17:00,394.70001,394.75500,394.64999,394.64999,1180
2020-09-14 12:18:00,394.74390,394.74390,394.51001,394.62000,1711
2020-09-14 12:19:00,394.60001,394.82999,394.60001,394.82999,1663
2020-09-14 12:20:00,395.21500,395.22000,395.21500,395.22000,573
2020-09-14 12:21:00,395.14001,395.14001,395.04001,395.04001,1512
2020-09-14 12:22:00,394.50201,394.97000,394.50201,394.97000,1498
2020-09-14 12:23:00,395.00000,395.00000,394.89999,394.89999,1631
2020-09-14 12:25:00,394.85999,394.95001,394.85999,394.95001,1665
2020-09-14 12:26:00,394.79001,394.79999,394.79001,394.79999,252
2020-09-14 12:27:00,394.69000,394.69000,394.47000,394.58069,825
2020-09-14 12:28:00,394.54501,395.12000,394.54501,395.12000,2194
2020-09-14 12:29:00,395.10001,395.18811,395.10001,395.18811,1371
2020-09-14 12:30:00,395.25809,395.47000,395.25809,395.47000,630
2020-09-14 12:31:00,395.35001,395.44000,395.01001,395.01001,2990
2020-09-14 12:32:00,395.20001,395.31000,395.19000,395.28000,1333
2020-09-14 12:34:00,395.26001,395.54501,395.26001,395.35999,1344
2020-09-14 12:35:00,395.32001,395.32001,395.32001,395.32001,306
2020-09-14 12:36:00,395.19000,395.50000,395.17001,395.17001,1879
2020-09-14 12:37:00,395.34500,395.39999,395.29501,395.29501,579
2020-09-14 12:38:00,395.29501,395.29501,394.98999,394.98999,2098
2020-09-14 12:39:00,394.97949,395.16000,394.97949,395.16000,1841
2020-09-14 12:40:00,395.39001,395.60999,395.20999,395.60999,1283
2020-09-14 12:41:00,395.61841,395.61841,395.29001,395.29001,1359
2020-09-14 12:42:00,395.38690,395.38690,395.38690,395.38690,1055
2020-09-14 12:43:00,395.07190,395.07190,395.07190,395.07190,194
2020-09-14 12:44:00,395.19000,395.19000,395.19000,395.19000,631
